car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,citympg,highwaympg,price,car_company
1,3,gas,std,two,convertible,rwd,front,225.044,4.28752,1.6281399999999997,1155.752416,dohc,four,2.130323,mpfi,3.47,111,11.200714285714286,8.711666666666666,13495.0,alpha-romeo
2,3,gas,std,two,convertible,rwd,front,225.044,4.28752,1.6281399999999997,1155.752416,dohc,four,2.130323,mpfi,3.47,111,11.200714285714286,8.711666666666666,16500.0,alpha-romeo
3,1,gas,std,two,hatchback,rwd,front,240.03,4.34848,1.6637,1280.490216,ohcv,six,2.4908392000000004,mpfi,2.68,154,12.379736842105263,9.04673076923077,16500.0,alpha-romeo
4,2,gas,std,four,sedan,fwd,front,253.492,4.48564,1.68148,1060.044504,ohc,four,1.7861939000000002,mpfi,3.19,102,9.800625,7.8405,13950.0,audi
5,2,gas,std,four,sedan,4wd,front,252.47600000000003,4.48564,1.68656,1280.943808,ohc,five,2.2286456,mpfi,3.19,115,13.0675,10.691590909090907,17450.0,audi
6,2,gas,std,two,sedan,fwd,front,253.492,4.50342,1.68402,1137.155144,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,15250.0,audi
7,1,gas,std,four,sedan,fwd,front,268.732,4.89458,1.81356,1290.015648,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,17710.0,audi
8,1,gas,std,four,wagon,fwd,front,268.732,4.89458,1.81356,1339.910768,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,18920.0,audi
9,1,gas,turbo,four,sedan,fwd,front,268.732,4.89458,1.81356,1399.784912,ohc,five,2.1467101000000004,mpfi,3.13,140,13.836176470588237,11.76075,23875.0,audi
10,0,gas,turbo,two,hatchback,4wd,front,252.73,4.52628,1.72466,1384.816376,ohc,five,2.1467101000000004,mpfi,3.13,160,14.7009375,10.691590909090907,17859.167,audi
11,2,gas,std,two,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1086.35284,ohc,four,1.7698068000000002,mpfi,3.5,101,10.226739130434783,8.110862068965517,16430.0,bmw
12,0,gas,std,four,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1086.35284,ohc,four,1.7698068000000002,mpfi,3.5,101,10.226739130434783,8.110862068965517,16925.0,bmw
13,0,gas,std,two,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1229.23432,ohc,six,2.6874844,mpfi,3.31,121,11.200714285714286,8.400535714285715,20970.0,bmw
14,0,gas,std,four,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1254.18188,ohc,six,2.6874844,mpfi,3.31,121,11.200714285714286,8.400535714285715,21105.0,bmw
15,1,gas,std,four,sedan,rwd,front,262.89,4.8006,1.69926,1385.72356,ohc,six,2.6874844,mpfi,3.31,121,11.76075,9.4086,24565.0,bmw
16,0,gas,std,four,sedan,rwd,front,262.89,4.8006,1.69926,1465.10216,ohc,six,3.4249039000000003,mpfi,3.62,182,14.7009375,10.691590909090907,30760.0,bmw
17,0,gas,std,two,sedan,rwd,front,262.89,4.9225200000000005,1.72466,1533.14096,ohc,six,3.4249039000000003,mpfi,3.62,182,14.7009375,10.691590909090907,41315.0,bmw
18,0,gas,std,four,sedan,rwd,front,279.4,5.0038,1.80086,1589.83996,ohc,six,3.4249039000000003,mpfi,3.62,182,15.681,11.76075,36880.0,bmw
19,2,gas,std,two,hatchback,fwd,front,224.53600000000003,3.58394,1.5316199999999998,674.944896,l,three,0.9996131,2bbl,2.91,48,5.0045744680851065,4.438018867924528,5151.0,chevrolet
20,1,gas,std,two,hatchback,fwd,front,240.03,3.95986,1.61544,850.0314079999999,ohc,four,1.4748390000000002,2bbl,3.03,70,6.189868421052632,5.470116279069767,6295.0,chevrolet
21,0,gas,std,four,sedan,fwd,front,240.03,4.03352,1.61544,865.907128,ohc,four,1.4748390000000002,2bbl,3.03,70,6.189868421052632,5.470116279069767,6575.0,chevrolet
22,1,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.62052,850.938592,ohc,four,1.4748390000000002,2bbl,2.97,68,6.357162162162163,5.736951219512195,5572.0,dodge
23,1,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.62052,850.938592,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6377.0,dodge
24,1,gas,turbo,two,hatchback,fwd,front,237.998,3.99542,1.62052,965.243776,ohc,four,1.6059358,mpfi,3.03,102,9.800625,7.8405,7957.0,dodge
25,1,gas,std,four,hatchback,fwd,front,237.998,3.99542,1.62052,892.215464,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6229.0,dodge
26,1,gas,std,four,sedan,fwd,front,237.998,3.99542,1.62052,902.194488,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6692.0,dodge
27,1,gas,std,four,sedan,fwd,front,237.998,3.99542,1.62052,902.194488,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,7609.0,dodge
28,1,gas,turbo,two,sedan,fwd,front,237.998,3.99542,1.62052,993.820072,ohc,four,1.6059358,mpfi,3.03,102,9.800625,7.8405,8558.0,dodge
29,-1,gas,std,four,wagon,fwd,front,262.382,4.43484,1.64084,1149.85572,ohc,four,1.9992262000000005,2bbl,3.34,88,9.800625,7.8405,8921.0,dodge
30,3,gas,turbo,two,hatchback,fwd,front,243.586,4.399279999999999,1.68402,1275.047112,ohc,four,2.5563876000000003,mfi,3.6,145,12.379736842105263,9.800625,12964.0,dodge
31,2,gas,std,two,hatchback,fwd,front,219.964,3.67284,1.62306,777.003096,ohc,four,1.5076132000000002,1bbl,2.91,58,4.80030612244898,4.355833333333333,6479.0,honda
32,2,gas,std,two,hatchback,fwd,front,219.964,3.67284,1.62306,825.083848,ohc,four,1.5076132000000002,1bbl,2.91,76,7.587580645161291,6.189868421052632,6855.0,honda
33,1,gas,std,two,hatchback,fwd,front,237.998,3.81,1.6256,833.248504,ohc,four,1.2945809,1bbl,2.91,60,6.189868421052632,5.600357142857143,5399.0,honda
34,1,gas,std,two,hatchback,fwd,front,237.998,3.81,1.6256,879.96848,ohc,four,1.5076132000000002,1bbl,2.91,76,7.8405,6.9180882352941175,6529.0,honda
35,1,gas,std,two,hatchback,fwd,front,237.998,3.81,1.6256,887.225952,ohc,four,1.5076132000000002,1bbl,2.91,76,7.8405,6.9180882352941175,7129.0,honda
36,0,gas,std,four,sedan,fwd,front,245.11,4.15036,1.6256,911.71992,ohc,four,1.5076132000000002,1bbl,2.91,76,7.8405,6.9180882352941175,7295.0,honda
37,0,gas,std,four,wagon,fwd,front,245.11,3.99034,1.62306,918.070208,ohc,four,1.5076132000000002,1bbl,2.92,76,7.8405,6.9180882352941175,7295.0,honda
38,0,gas,std,two,hatchback,fwd,front,245.11,4.2545,1.65608,1014.231712,ohc,four,1.802581,1bbl,3.15,86,8.711666666666666,7.127727272727273,7895.0,honda
39,0,gas,std,two,hatchback,fwd,front,245.11,4.2545,1.65608,1038.272088,ohc,four,1.802581,1bbl,3.15,86,8.711666666666666,7.127727272727273,9095.0,honda
40,0,gas,std,four,sedan,fwd,front,245.11,4.45516,1.65608,1045.075968,ohc,four,1.802581,1bbl,3.15,86,8.711666666666666,7.127727272727273,8845.0,honda
41,0,gas,std,four,sedan,fwd,front,245.11,4.45516,1.5875,1075.920224,ohc,four,1.802581,1bbl,3.15,86,8.711666666666666,7.127727272727273,10295.0,honda
42,0,gas,std,four,sedan,fwd,front,245.11,4.45516,1.65608,1118.10428,ohc,four,1.802581,mpfi,3.15,101,9.800625,8.400535714285715,12945.0,honda
43,1,gas,std,two,sedan,fwd,front,245.11,4.29514,1.6764,1040.086456,ohc,four,1.802581,2bbl,3.15,100,9.4086,7.587580645161291,10345.0,honda
44,0,gas,std,four,sedan,rwd,front,239.522,4.33578,1.5697199999999998,1060.044504,ohc,four,1.8189681,2bbl,3.31,78,9.800625,8.110862068965517,6785.0,isuzu
45,1,gas,std,two,sedan,fwd,front,240.03,3.95986,1.61544,850.0314079999999,ohc,four,1.4748390000000002,2bbl,3.03,70,6.189868421052632,5.470116279069767,8916.5,isuzu
46,0,gas,std,four,sedan,fwd,front,240.03,3.95986,1.61544,865.907128,ohc,four,1.4748390000000002,2bbl,3.03,70,6.189868421052632,5.470116279069767,8916.5,isuzu
47,2,gas,std,two,hatchback,rwd,front,243.84,4.38404,1.65608,1240.120528,ohc,four,1.9500649,spfi,3.43,90,9.800625,8.110862068965517,11048.0,isuzu
48,0,gas,std,four,sedan,rwd,front,287.02,5.069839999999999,1.76784,1844.305072,dohc,six,4.227871800000001,mpfi,3.63,176,15.681,12.379736842105263,32250.0,jaguar
49,0,gas,std,four,sedan,rwd,front,287.02,5.069839999999999,1.76784,1844.305072,dohc,six,4.227871800000001,mpfi,3.63,176,15.681,12.379736842105263,35550.0,jaguar
50,0,gas,std,two,sedan,rwd,front,259.08,4.869179999999999,1.7932399999999995,1791.6884,ohcv,twelve,5.342194600000001,mpfi,3.54,262,18.09346153846154,13.836176470588237,36000.0,jaguar
51,1,gas,std,two,hatchback,fwd,front,236.474,4.04114,1.63068,857.28888,ohc,four,1.4912261000000002,2bbl,3.03,68,7.8405,7.587580645161291,5195.0,mazda
52,1,gas,std,two,hatchback,fwd,front,236.474,4.04114,1.63068,861.8248,ohc,four,1.4912261000000002,2bbl,3.03,68,7.587580645161291,6.189868421052632,6095.0,mazda
53,1,gas,std,two,hatchback,fwd,front,236.474,4.04114,1.63068,864.09276,ohc,four,1.4912261000000002,2bbl,3.03,68,7.587580645161291,6.189868421052632,6795.0,mazda
54,1,gas,std,four,sedan,fwd,front,236.474,4.23672,1.63068,882.23644,ohc,four,1.4912261000000002,2bbl,3.03,68,7.587580645161291,6.189868421052632,6695.0,mazda
55,1,gas,std,four,sedan,fwd,front,236.474,4.23672,1.63068,884.5044,ohc,four,1.4912261000000002,2bbl,3.08,68,7.587580645161291,6.189868421052632,7395.0,mazda
56,3,gas,std,two,hatchback,rwd,front,242.062,4.2926,1.66878,1079.54896,rotor,two,1.147097,4bbl,3.33,101,13.836176470588237,10.226739130434783,10945.0,mazda
57,3,gas,std,two,hatchback,rwd,front,242.062,4.2926,1.66878,1079.54896,rotor,two,1.147097,4bbl,3.33,101,13.836176470588237,10.226739130434783,11845.0,mazda
58,3,gas,std,two,hatchback,rwd,front,242.062,4.2926,1.66878,1081.81692,rotor,two,1.147097,4bbl,3.33,101,13.836176470588237,10.226739130434783,13645.0,mazda
59,3,gas,std,two,hatchback,rwd,front,242.062,4.2926,1.66878,1133.98,rotor,two,1.310968,mpfi,3.33,135,14.7009375,10.226739130434783,15645.0,mazda
60,1,gas,std,two,hatchback,fwd,front,250.952,4.51612,1.6890999999999998,1081.81692,ohc,four,1.9992262000000005,2bbl,3.39,84,9.04673076923077,7.35046875,8845.0,mazda
61,0,gas,std,four,sedan,fwd,front,250.952,4.51612,1.6890999999999998,1093.15672,ohc,four,1.9992262000000005,2bbl,3.39,84,9.04673076923077,7.35046875,8495.0,mazda
62,1,gas,std,two,hatchback,fwd,front,250.952,4.51612,1.6890999999999998,1081.81692,ohc,four,1.9992262000000005,2bbl,3.39,84,9.04673076923077,7.35046875,10595.0,mazda
63,0,gas,std,four,sedan,fwd,front,250.952,4.51612,1.6890999999999998,1093.15672,ohc,four,1.9992262000000005,2bbl,3.39,84,9.04673076923077,7.35046875,10245.0,mazda
64,0,diesel,std,four,sedan,fwd,front,250.952,4.51612,1.6890999999999998,1108.125256,ohc,four,1.9992262000000005,idi,3.39,64,6.53375,5.600357142857143,10795.0,mazda
65,0,gas,std,four,hatchback,fwd,front,250.952,4.51612,1.6890999999999998,1099.9606,ohc,four,1.9992262000000005,2bbl,3.39,84,9.04673076923077,7.35046875,11245.0,mazda
66,0,gas,std,four,sedan,rwd,front,266.446,4.444999999999999,1.67894,1211.09064,ohc,four,2.294194,mpfi,3.76,120,12.379736842105263,8.711666666666666,18280.0,mazda
67,0,diesel,std,four,sedan,rwd,front,266.446,4.444999999999999,1.67894,1224.6984,ohc,four,2.1958714,idi,3.43,72,7.587580645161291,6.031153846153846,18344.0,mazda
68,-1,diesel,turbo,four,sedan,rwd,front,279.4,4.84886,1.7856199999999998,1594.37588,ohc,five,2.9988393,idi,3.58,123,10.691590909090907,9.4086,25552.0,buick
69,-1,diesel,turbo,four,wagon,rwd,front,279.4,4.84886,1.7856199999999998,1700.97,ohc,five,2.9988393,idi,3.58,123,10.691590909090907,9.4086,28248.0,buick
70,0,diesel,turbo,two,hardtop,rwd,front,271.01800000000003,4.7625,1.7856199999999998,1585.30404,ohc,five,2.9988393,idi,3.58,123,10.691590909090907,9.4086,28176.0,buick
71,-1,diesel,turbo,four,sedan,rwd,front,293.624,5.146039999999999,1.82118,1710.04184,ohc,five,2.9988393,idi,3.58,123,10.691590909090907,9.4086,31600.0,buick
72,-1,gas,std,four,sedan,rwd,front,293.624,5.146039999999999,1.82118,1696.43408,ohcv,eight,3.8345814,mpfi,3.46,155,14.7009375,13.0675,34184.0,buick
73,3,gas,std,two,convertible,rwd,front,245.364,4.57962,1.7907,1671.48652,ohcv,eight,3.8345814,mpfi,3.46,155,14.7009375,13.0675,35056.0,buick
74,0,gas,std,four,sedan,rwd,front,307.086,5.28574,1.82118,1769.0088,ohcv,eight,5.047226800000001,mpfi,3.8,184,16.80107142857143,14.7009375,40960.0,buick
75,1,gas,std,two,hardtop,rwd,front,284.48,5.059679999999999,1.8288,1685.09428,ohcv,eight,4.981678400000001,mpfi,3.8,184,16.80107142857143,14.7009375,45400.0,buick
76,1,gas,turbo,two,hatchback,rwd,front,260.858,4.53136,1.7271999999999998,1319.95272,ohc,four,2.294194,mpfi,3.78,175,12.379736842105263,9.800625,16503.0,mercury
77,2,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.63576,869.989456,ohc,four,1.5076132000000002,2bbl,2.97,68,6.357162162162163,5.736951219512195,5389.0,mitsubishi
78,2,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.63576,881.782848,ohc,four,1.5076132000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6189.0,mitsubishi
79,2,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.63576,908.998368,ohc,four,1.5076132000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6669.0,mitsubishi
80,1,gas,turbo,two,hatchback,fwd,front,236.22,3.99542,1.62052,972.95484,ohc,four,1.6059358,spdi,3.03,102,9.800625,7.8405,7689.0,mitsubishi
81,3,gas,turbo,two,hatchback,fwd,front,244.602,4.3942,1.66116,1075.01304,ohc,four,1.802581,spdi,3.17,116,10.226739130434783,7.8405,9959.0,mitsubishi
82,3,gas,std,two,hatchback,fwd,front,244.602,4.3942,1.66116,1055.962176,ohc,four,1.9992262000000005,2bbl,3.35,88,9.4086,7.35046875,8499.0,mitsubishi
83,3,gas,turbo,two,hatchback,fwd,front,243.586,4.399279999999999,1.68402,1285.026136,ohc,four,2.5563876000000003,spdi,3.58,145,12.379736842105263,9.800625,12629.0,mitsubishi
84,3,gas,turbo,two,hatchback,fwd,front,243.586,4.399279999999999,1.68402,1324.942232,ohc,four,2.5563876000000003,spdi,3.59,145,12.379736842105263,9.800625,14869.0,mitsubishi
85,3,gas,turbo,two,hatchback,fwd,front,243.586,4.399279999999999,1.68402,1327.210192,ohc,four,2.5563876000000003,spdi,3.59,145,12.379736842105263,9.800625,14489.0,mitsubishi
86,1,gas,std,four,sedan,fwd,front,244.602,4.37896,1.66116,1072.74508,ohc,four,1.9992262000000005,2bbl,3.35,88,9.4086,7.35046875,6989.0,mitsubishi
87,1,gas,std,four,sedan,fwd,front,244.602,4.37896,1.66116,1090.88876,ohc,four,1.9992262000000005,2bbl,3.35,88,9.4086,7.35046875,8189.0,mitsubishi
88,1,gas,turbo,four,sedan,fwd,front,244.602,4.37896,1.66116,1089.981576,ohc,four,1.802581,spdi,3.17,116,10.226739130434783,7.8405,9279.0,mitsubishi
89,-1,gas,std,four,sedan,fwd,front,244.602,4.37896,1.66116,1089.981576,ohc,four,1.802581,spdi,3.17,116,10.226739130434783,7.8405,9279.0,mitsubishi
90,1,gas,std,two,sedan,fwd,front,240.03,4.19862,1.62052,856.835288,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,5499.0,nissan
91,1,diesel,std,two,sedan,fwd,front,240.03,4.19862,1.62052,914.895064,ohc,four,1.6878713,idi,2.99,55,5.227,4.7043,7099.0,nissan
92,1,gas,std,two,sedan,fwd,front,240.03,4.19862,1.62052,869.989456,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,6649.0,nissan
93,1,gas,std,four,sedan,fwd,front,240.03,4.19862,1.62052,879.061296,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,6849.0,nissan
94,1,gas,std,four,wagon,fwd,front,240.03,4.323079999999999,1.62052,918.070208,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,7349.0,nissan
95,1,gas,std,two,sedan,fwd,front,240.03,4.19862,1.62052,884.957992,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,7299.0,nissan
96,1,gas,std,two,hatchback,fwd,front,240.03,4.206239999999999,1.62052,919.884576,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,7799.0,nissan
97,1,gas,std,four,sedan,fwd,front,240.03,4.19862,1.62052,894.0298319999999,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,7499.0,nissan
98,1,gas,std,four,wagon,fwd,front,240.03,4.323079999999999,1.62052,923.966904,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,7999.0,nissan
99,2,gas,std,two,hardtop,fwd,front,241.554,4.12496,1.62052,910.812736,ohc,four,1.5895487,2bbl,3.15,69,7.587580645161291,6.357162162162163,8249.0,nissan
100,0,gas,std,four,hatchback,fwd,front,246.888,4.40436,1.65608,1054.147808,ohc,four,1.9664520000000003,2bbl,3.33,97,8.711666666666666,6.9180882352941175,8949.0,nissan
101,0,gas,std,four,sedan,fwd,front,246.888,4.40436,1.65608,1044.168784,ohc,four,1.9664520000000003,2bbl,3.33,97,8.711666666666666,6.9180882352941175,9549.0,nissan
102,0,gas,std,four,sedan,fwd,front,255.016,4.61518,1.6890999999999998,1403.86724,ohcv,six,2.9660651,mpfi,3.43,152,13.836176470588237,10.691590909090907,13499.0,nissan
103,0,gas,std,four,wagon,fwd,front,255.016,4.68884,1.6890999999999998,1495.039232,ohcv,six,2.9660651,mpfi,3.43,152,13.836176470588237,10.691590909090907,14399.0,nissan
