car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,citympg,highwaympg,price,car_company
104,0,gas,std,four,sedan,fwd,front,255.016,4.68884,1.6890999999999998,1387.99152,ohcv,six,2.9660651,mpfi,3.43,152,12.379736842105263,9.4086,13499.0,nissan
105,3,gas,std,two,hatchback,rwd,front,231.902,4.33578,1.72466,1392.981032,ohcv,six,2.9660651,mpfi,3.43,160,12.379736842105263,9.4086,17199.0,nissan
106,3,gas,turbo,two,hatchback,rwd,front,231.902,4.33578,1.72466,1423.825288,ohcv,six,2.9660651,mpfi,3.43,200,13.836176470588237,10.226739130434783,19699.0,nissan
107,1,gas,std,two,hatchback,rwd,front,251.968,4.5339,1.72466,1423.825288,ohcv,six,2.9660651,mpfi,3.43,160,12.379736842105263,9.4086,18399.0,nissan
108,0,gas,std,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1369.84784,l,four,1.9664520000000003,mpfi,3.46,97,12.379736842105263,9.800625,11900.0,peugeot
109,0,diesel,turbo,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1450.133624,l,four,2.4908392000000004,idi,3.7,95,8.400535714285715,7.127727272727273,13200.0,peugeot
110,0,gas,std,four,wagon,rwd,front,290.068,5.05206,1.73736,1465.10216,l,four,1.9664520000000003,mpfi,3.46,97,12.379736842105263,9.800625,12440.0,peugeot
111,0,diesel,turbo,four,wagon,rwd,front,290.068,5.05206,1.73736,1555.82056,l,four,2.4908392000000004,idi,3.7,95,9.4086,9.4086,13860.0,peugeot
112,0,gas,std,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1394.7954,l,four,1.9664520000000003,mpfi,3.46,95,12.379736842105263,9.800625,15580.0,peugeot
113,0,diesel,turbo,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1475.081184,l,four,2.4908392000000004,idi,3.7,95,8.400535714285715,7.127727272727273,16900.0,peugeot
114,0,gas,std,four,wagon,rwd,front,290.068,5.05206,1.73736,1490.04972,l,four,1.9664520000000003,mpfi,3.46,95,12.379736842105263,9.800625,16695.0,peugeot
115,0,diesel,turbo,four,wagon,rwd,front,290.068,5.05206,1.73736,1580.76812,l,four,2.4908392000000004,idi,3.7,95,9.4086,9.4086,17075.0,peugeot
116,0,gas,std,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1394.7954,l,four,1.9664520000000003,mpfi,3.46,97,12.379736842105263,9.800625,16630.0,peugeot
117,0,diesel,turbo,four,sedan,rwd,front,274.06600000000003,4.742179999999999,1.73736,1475.081184,l,four,2.4908392000000004,idi,3.7,95,8.400535714285715,7.127727272727273,17950.0,peugeot
118,0,gas,turbo,four,sedan,rwd,front,274.32,4.742179999999999,1.7348199999999998,1419.74296,l,four,2.1958714,mpfi,3.61,142,13.0675,9.800625,18150.0,peugeot
119,1,gas,std,two,hatchback,fwd,front,237.998,3.99542,1.62052,869.989456,ohc,four,1.4748390000000002,2bbl,2.97,68,6.357162162162163,5.736951219512195,5572.0,plymouth
120,1,gas,turbo,two,hatchback,fwd,front,237.998,3.99542,1.62052,965.243776,ohc,four,1.6059358,spdi,3.03,102,9.800625,7.8405,7957.0,plymouth
121,1,gas,std,four,hatchback,fwd,front,237.998,3.99542,1.62052,892.215464,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6229.0,plymouth
122,1,gas,std,four,sedan,fwd,front,237.998,4.24942,1.62052,902.194488,ohc,four,1.4748390000000002,2bbl,2.97,68,7.587580645161291,6.189868421052632,6692.0,plymouth
123,1,gas,std,four,sedan,fwd,front,237.998,4.24942,1.62052,993.820072,ohc,four,1.6059358,2bbl,2.97,68,7.587580645161291,6.189868421052632,7609.0,plymouth
124,-1,gas,std,four,wagon,fwd,front,262.382,4.43484,1.64084,1149.85572,ohc,four,1.9992262000000005,2bbl,3.35,88,9.800625,7.8405,8921.0,plymouth
125,3,gas,turbo,two,hatchback,rwd,front,243.586,4.399279999999999,1.68402,1278.222256,ohc,four,2.5563876000000003,spdi,3.59,145,12.379736842105263,9.800625,12764.0,plymouth
126,3,gas,std,two,hatchback,rwd,front,240.03,4.29006,1.7348199999999998,1260.078576,ohc,four,2.4744521,mpfi,3.94,143,12.379736842105263,8.711666666666666,22018.0,porsche
127,3,gas,std,two,hardtop,rwd,rear,227.33,4.29006,1.651,1250.099552,ohcf,six,3.1790974000000003,mpfi,3.74,207,13.836176470588237,9.4086,32528.0,porsche
128,3,gas,std,two,hardtop,rwd,rear,227.33,4.29006,1.651,1250.099552,ohcf,six,3.1790974000000003,mpfi,3.74,207,13.836176470588237,9.4086,34028.0,porsche
129,3,gas,std,two,convertible,rwd,rear,227.33,4.29006,1.651,1270.0576,ohcf,six,3.1790974000000003,mpfi,3.74,207,13.836176470588237,9.4086,37028.0,porsche
130,1,gas,std,two,hatchback,rwd,front,249.936,4.46278,1.83642,1526.790672,dohcv,eight,3.3265813000000004,mpfi,3.94,288,13.836176470588237,8.400535714285715,31400.5,porsche
131,0,gas,std,four,wagon,fwd,front,244.094,4.6101,1.6890999999999998,1169.813768,ohc,four,2.1630972,mpfi,3.46,90,10.226739130434783,7.587580645161291,9295.0,renault
132,2,gas,std,two,hatchback,fwd,front,244.094,4.4907200000000005,1.6916399999999998,1115.83632,ohc,four,2.1630972,mpfi,3.46,90,10.226739130434783,7.587580645161291,9895.0,renault
133,3,gas,std,two,hatchback,fwd,front,251.714,4.73964,1.6890999999999998,1205.647536,ohc,four,1.9828391000000003,mpfi,3.54,110,11.200714285714286,8.400535714285715,11850.0,saab
134,2,gas,std,four,sedan,fwd,front,251.714,4.73964,1.6890999999999998,1222.43044,ohc,four,1.9828391000000003,mpfi,3.54,110,11.200714285714286,8.400535714285715,12170.0,saab
135,3,gas,std,two,hatchback,fwd,front,251.714,4.73964,1.6890999999999998,1227.873544,ohc,four,1.9828391000000003,mpfi,2.54,110,11.200714285714286,8.400535714285715,15040.0,saab
136,2,gas,std,four,sedan,fwd,front,251.714,4.73964,1.6890999999999998,1251.006736,ohc,four,1.9828391000000003,mpfi,3.54,110,11.200714285714286,8.400535714285715,15510.0,saab
137,3,gas,turbo,two,hatchback,fwd,front,251.714,4.73964,1.6890999999999998,1273.686336,dohc,four,1.9828391000000003,mpfi,3.54,160,12.379736842105263,9.04673076923077,18150.0,saab
138,2,gas,turbo,four,sedan,fwd,front,251.714,4.73964,1.6890999999999998,1291.376424,dohc,four,1.9828391000000003,mpfi,3.54,160,12.379736842105263,9.04673076923077,18620.0,saab
139,2,gas,std,two,hatchback,fwd,front,237.998,3.98526,1.6103599999999998,929.8636,ohcf,four,1.5895487,2bbl,3.62,69,7.587580645161291,6.53375,5118.0,subaru
140,2,gas,std,two,hatchback,fwd,front,237.998,4.01066,1.61544,961.61504,ohcf,four,1.7698068000000002,2bbl,3.62,73,9.04673076923077,7.587580645161291,7053.0,subaru
141,2,gas,std,two,hatchback,4wd,front,236.982,3.99542,1.62052,1016.04608,ohcf,four,1.7698068000000002,2bbl,3.62,73,9.04673076923077,7.587580645161291,7603.0,subaru
142,0,gas,std,four,sedan,fwd,front,246.888,4.3688,1.66116,972.95484,ohcf,four,1.7698068000000002,2bbl,3.62,82,7.35046875,6.357162162162163,7126.0,subaru
143,0,gas,std,four,sedan,fwd,front,246.888,4.3688,1.66116,993.36648,ohcf,four,1.7698068000000002,2bbl,3.62,82,8.400535714285715,7.127727272727273,7775.0,subaru
144,0,gas,std,four,sedan,fwd,front,246.888,4.3688,1.66116,1061.40528,ohcf,four,1.7698068000000002,mpfi,3.62,94,9.04673076923077,7.35046875,9960.0,subaru
145,0,gas,std,four,sedan,4wd,front,246.38,4.3688,1.66116,1081.81692,ohcf,four,1.7698068000000002,2bbl,3.62,82,9.800625,9.4086,9233.0,subaru
146,0,gas,turbo,four,sedan,4wd,front,246.38,4.3688,1.66116,1138.51592,ohcf,four,1.7698068000000002,mpfi,3.62,111,9.800625,8.110862068965517,11259.0,subaru
147,0,gas,std,four,wagon,fwd,front,246.38,4.4069,1.66116,1038.72568,ohcf,four,1.7698068000000002,2bbl,3.62,82,8.400535714285715,7.35046875,7463.0,subaru
148,0,gas,std,four,wagon,fwd,front,246.38,4.4069,1.66116,1113.56836,ohcf,four,1.7698068000000002,mpfi,3.62,94,9.4086,7.587580645161291,10198.0,subaru
149,0,gas,std,four,wagon,4wd,front,246.126,4.40944,1.66116,1097.69264,ohcf,four,1.7698068000000002,2bbl,3.62,82,10.226739130434783,8.110862068965517,8013.0,subaru
150,0,gas,turbo,four,wagon,4wd,front,246.126,4.40944,1.66116,1202.0188,ohcf,four,1.7698068000000002,mpfi,3.62,111,10.226739130434783,10.226739130434783,11694.0,subaru
151,1,gas,std,two,hatchback,fwd,front,243.078,4.03098,1.61544,900.38012,ohc,four,1.5076132000000002,2bbl,3.05,62,6.720428571428571,6.031153846153846,5348.0,toyota
152,1,gas,std,two,hatchback,fwd,front,243.078,4.03098,1.61544,925.32768,ohc,four,1.5076132000000002,2bbl,3.05,62,7.587580645161291,6.189868421052632,6338.0,toyota
153,1,gas,std,four,hatchback,fwd,front,243.078,4.03098,1.61544,913.98788,ohc,four,1.5076132000000002,2bbl,3.05,62,7.587580645161291,6.189868421052632,6488.0,toyota
154,0,gas,std,four,wagon,fwd,front,243.078,4.310379999999999,1.61544,1034.18976,ohc,four,1.5076132000000002,2bbl,3.05,62,7.587580645161291,6.357162162162163,6918.0,toyota
155,0,gas,std,four,wagon,4wd,front,243.078,4.310379999999999,1.61544,1038.72568,ohc,four,1.5076132000000002,2bbl,3.05,62,8.711666666666666,7.35046875,7898.0,toyota
156,0,gas,std,four,wagon,4wd,front,243.078,4.310379999999999,1.61544,1410.67112,ohc,four,1.5076132000000002,2bbl,3.05,62,8.711666666666666,7.35046875,8778.0,toyota
157,0,gas,std,four,sedan,fwd,front,243.078,4.22402,1.63576,943.924952,ohc,four,1.6059358,2bbl,3.19,70,7.8405,6.357162162162163,6938.0,toyota
158,0,gas,std,four,hatchback,fwd,front,243.078,4.22402,1.63576,956.625528,ohc,four,1.6059358,2bbl,3.19,70,7.8405,6.357162162162163,7198.0,toyota
159,0,diesel,std,four,sedan,fwd,front,243.078,4.22402,1.63576,1031.9218,ohc,four,1.802581,idi,3.27,56,6.9180882352941175,6.53375,7898.0,toyota
160,0,diesel,std,four,hatchback,fwd,front,243.078,4.22402,1.63576,1031.9218,ohc,four,1.802581,idi,3.27,56,6.189868421052632,5.0045744680851065,7788.0,toyota
161,0,gas,std,four,sedan,fwd,front,243.078,4.22402,1.63576,949.821648,ohc,four,1.6059358,2bbl,3.19,70,6.189868421052632,5.0045744680851065,7738.0,toyota
162,0,gas,std,four,hatchback,fwd,front,243.078,4.22402,1.63576,962.522224,ohc,four,1.6059358,2bbl,3.19,70,8.400535714285715,6.9180882352941175,8358.0,toyota
163,0,gas,std,four,sedan,fwd,front,243.078,4.22402,1.63576,970.68688,ohc,four,1.6059358,2bbl,3.19,70,8.400535714285715,6.9180882352941175,9258.0,toyota
164,1,gas,std,two,sedan,rwd,front,240.03,4.284979999999999,1.6256,983.841048,ohc,four,1.6059358,2bbl,3.19,70,8.110862068965517,6.9180882352941175,8058.0,toyota
165,1,gas,std,two,hatchback,rwd,front,240.03,4.284979999999999,1.6256,999.716768,ohc,four,1.6059358,2bbl,3.19,70,8.110862068965517,6.9180882352941175,8238.0,toyota
166,1,gas,std,two,sedan,rwd,front,240.03,4.284979999999999,1.6256,1027.38588,dohc,four,1.6059358,mpfi,3.24,112,9.04673076923077,8.110862068965517,9298.0,toyota
167,1,gas,std,two,hatchback,rwd,front,240.03,4.284979999999999,1.6256,1043.2616,dohc,four,1.6059358,mpfi,3.24,112,9.04673076923077,8.110862068965517,9538.0,toyota
168,2,gas,std,two,hardtop,rwd,front,249.936,4.475479999999999,1.6662399999999995,1152.12368,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,8449.0,toyota
169,2,gas,std,two,hardtop,rwd,front,249.936,4.475479999999999,1.6662399999999995,1150.309312,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,9639.0,toyota
170,2,gas,std,two,hatchback,rwd,front,249.936,4.475479999999999,1.6662399999999995,1157.113192,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,9989.0,toyota
171,2,gas,std,two,hardtop,rwd,front,249.936,4.475479999999999,1.6662399999999995,1215.172968,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,11199.0,toyota
172,2,gas,std,two,hatchback,rwd,front,249.936,4.475479999999999,1.6662399999999995,1231.048688,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,11549.0,toyota
173,2,gas,std,two,convertible,rwd,front,249.936,4.475479999999999,1.6662399999999995,1349.4362,ohc,four,2.3925166000000004,mpfi,3.62,116,9.800625,7.8405,17669.0,toyota
174,-1,gas,std,four,sedan,fwd,front,260.096,4.46024,1.6890999999999998,1055.054992,ohc,four,1.9992262000000005,mpfi,3.31,92,8.110862068965517,6.9180882352941175,8948.0,toyota
175,-1,diesel,turbo,four,sedan,fwd,front,260.096,4.46024,1.6890999999999998,1124.90816,ohc,four,1.802581,idi,3.27,73,7.8405,7.127727272727273,10698.0,toyota
176,-1,gas,std,four,hatchback,fwd,front,260.096,4.46024,1.6890999999999998,1094.971088,ohc,four,1.9992262000000005,mpfi,3.31,92,8.711666666666666,7.35046875,9988.0,toyota
177,-1,gas,std,four,sedan,fwd,front,260.096,4.46024,1.6890999999999998,1094.971088,ohc,four,1.9992262000000005,mpfi,3.31,92,8.711666666666666,7.35046875,10898.0,toyota
178,-1,gas,std,four,hatchback,fwd,front,260.096,4.46024,1.6890999999999998,1114.929136,ohc,four,1.9992262000000005,mpfi,3.31,92,8.711666666666666,7.35046875,11248.0,toyota
179,3,gas,std,two,hatchback,rwd,front,261.36600000000004,4.6609,1.71958,1349.889792,dohc,six,2.8021941000000004,mpfi,3.27,161,11.76075,9.800625,16558.0,toyota
180,3,gas,std,two,hatchback,rwd,front,261.36600000000004,4.6609,1.71958,1368.033472,dohc,six,2.8021941000000004,mpfi,3.27,161,12.379736842105263,9.800625,15998.0,toyota
181,-1,gas,std,four,sedan,rwd,front,265.43,4.77012,1.6890999999999998,1420.196552,dohc,six,2.8021941000000004,mpfi,3.27,156,11.76075,9.800625,15690.0,toyota
182,-1,gas,std,four,wagon,rwd,front,265.43,4.77012,1.6890999999999998,1429.268392,dohc,six,2.6383231000000005,mpfi,3.27,156,12.379736842105263,9.800625,15750.0,toyota
183,2,diesel,std,two,sedan,fwd,front,247.142,4.361179999999999,1.6637,1025.571512,ohc,four,1.5895487,idi,3.01,52,6.357162162162163,5.113369565217392,7775.0,volkswagen
184,2,gas,std,two,sedan,fwd,front,247.142,4.361179999999999,1.6637,1001.984728,ohc,four,1.7861939000000002,mpfi,3.19,85,8.711666666666666,6.9180882352941175,7975.0,volkswagen
185,2,diesel,std,four,sedan,fwd,front,247.142,4.361179999999999,1.6637,1026.932288,ohc,four,1.5895487,idi,3.01,52,6.357162162162163,5.113369565217392,7995.0,volkswagen
186,2,gas,std,four,sedan,fwd,front,247.142,4.361179999999999,1.6637,1003.345504,ohc,four,1.7861939000000002,mpfi,3.19,85,8.711666666666666,6.9180882352941175,8195.0,volkswagen
187,2,gas,std,four,sedan,fwd,front,247.142,4.361179999999999,1.6637,1031.9218,ohc,four,1.7861939000000002,mpfi,3.19,85,8.711666666666666,6.9180882352941175,8495.0,volkswagen
188,2,diesel,turbo,four,sedan,fwd,front,247.142,4.361179999999999,1.6637,1051.879848,ohc,four,1.5895487,idi,3.01,68,6.357162162162163,5.600357142857143,9495.0,volkswagen
189,2,gas,std,four,sedan,fwd,front,247.142,4.361179999999999,1.6637,1043.2616,ohc,four,1.7861939000000002,mpfi,3.19,100,9.04673076923077,7.35046875,9995.0,volkswagen
190,3,gas,std,two,convertible,fwd,front,240.03,4.04622,1.63068,1022.396368,ohc,four,1.7861939000000002,mpfi,3.19,90,9.800625,8.110862068965517,11595.0,volkswagen
191,3,gas,std,two,hatchback,fwd,front,240.03,4.20878,1.6256,1007.427832,ohc,four,1.7861939000000002,mpfi,3.19,90,9.800625,8.110862068965517,9980.0,volkswagen
192,0,gas,std,four,sedan,fwd,front,255.016,4.57708,1.69926,1207.008312,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.800625,13295.0,volkswagen
193,0,diesel,turbo,four,sedan,fwd,front,255.016,4.57708,1.69926,1169.813768,ohc,four,1.5895487,idi,3.01,68,7.127727272727273,6.189868421052632,13845.0,volkswagen
194,0,gas,std,four,wagon,fwd,front,255.016,4.65074,1.69926,1162.556296,ohc,four,1.7861939000000002,mpfi,3.19,88,9.4086,7.587580645161291,12290.0,volkswagen
195,-2,gas,std,four,sedan,rwd,front,264.922,4.79552,1.70688,1320.859904,ohc,four,2.3105811000000003,mpfi,3.78,114,10.226739130434783,8.400535714285715,12940.0,volvo
196,-1,gas,std,four,wagon,rwd,front,264.922,4.79552,1.70688,1376.198128,ohc,four,2.3105811000000003,mpfi,3.78,114,10.226739130434783,8.400535714285715,13415.0,volvo
197,-2,gas,std,four,sedan,rwd,front,264.922,4.79552,1.70688,1331.29252,ohc,four,2.3105811000000003,mpfi,3.78,114,9.800625,8.400535714285715,15985.0,volvo
198,-1,gas,std,four,wagon,rwd,front,264.922,4.79552,1.70688,1379.826864,ohc,four,2.3105811000000003,mpfi,3.78,114,9.800625,8.400535714285715,16515.0,volvo
199,-2,gas,turbo,four,sedan,rwd,front,264.922,4.79552,1.70688,1381.18764,ohc,four,2.130323,mpfi,3.62,162,13.836176470588237,10.691590909090907,18420.0,volvo
200,-1,gas,turbo,four,wagon,rwd,front,264.922,4.79552,1.70688,1431.989944,ohc,four,2.130323,mpfi,3.62,162,13.836176470588237,10.691590909090907,18950.0,volvo
201,-1,gas,std,four,sedan,rwd,front,277.114,4.79552,1.7500600000000002,1339.003584,ohc,four,2.3105811000000003,mpfi,3.78,114,10.226739130434783,8.400535714285715,16845.0,volvo
202,-1,gas,turbo,four,sedan,rwd,front,277.114,4.79552,1.74752,1383.002008,ohc,four,2.3105811000000003,mpfi,3.78,160,12.379736842105263,9.4086,19045.0,volvo
203,-1,gas,std,four,sedan,rwd,front,277.114,4.79552,1.7500600000000002,1366.219104,ohcv,six,2.8349683000000003,mpfi,3.58,134,13.0675,10.226739130434783,21485.0,volvo
204,-1,diesel,turbo,four,sedan,rwd,front,277.114,4.79552,1.7500600000000002,1459.205464,ohc,six,2.3761295,idi,3.01,106,9.04673076923077,8.711666666666666,22470.0,volvo
205,-1,gas,turbo,four,sedan,rwd,front,277.114,4.79552,1.7500600000000002,1388.898704,ohc,four,2.3105811000000003,mpfi,3.78,114,12.379736842105263,9.4086,22625.0,volvo
